province	2017	2018
Anhui	11	15
Beijing	71	146
Chongqing	27	28
Fujian	8	16
Gansu	30	47
Guangdong	73	242
Guangxi	17	43
Guizhou	46	63
Hainan	3	15
Hebei	10	23
Heilongjiang	8	16
Henan	17	31
Hubei	17	28
Hunan	18	30
Inner Mongolia	11	14
Jiangsu	10	43
Jiangxi	5	19
Jilin	4	12
Liaoning	9	15
Ningxia	7	17
Qinghai	16	29
Shaanxi	33	48
Shandong	11	28
Shanghai	22	61
Shanxi	6	14
Sichuan	63	57
Tianjin	6	26
Tibet	2	6
Xinjiang	8	11
Xinjiang Bingtuan	0	3
Yunnan	51	94
Zhejiang	25	67
Unknown	3	1
