date,close
Mar-17,2.94
Apr-17,1.05
May-17,1.04
Jun-17,3.18
Jul-17,2.61
Aug-17,1.53
Sep-17,4.15
Oct-17,3.12
Nov-17,2.77
Dec-17,2
Jan-18,4.92
Feb-18,1.38
Mar-18,4.37
Apr-18,1.24
May-18,2.78
Jun-18,2.28
