week	number
1	716
2	14
3	8
4	1
5	9
6	4
7	1
8	0
9	2
10	2
11	1
12	1
13	0
14	1
15	1
16	0
17	0
18	0
19	0
20	2
21	0
22	1
23	0
24	2
25	0
26	0
27	0
28	0
29	0
30	1
31	1
32	32
