date,close
Mar-17,72
Apr-17,57
May-17,39
Jun-17,49
Jul-17,26
Aug-17,42
Sep-17,56
Oct-17,40
Nov-17,45
Dec-17,51
Jan-18,40
Feb-18,46
Mar-18,49
Apr-18,23
May-18,26
Jun-18,33
