length	number
0-1 Month	112
1-2 Months	18
2-3 Months	13
3-4 Months	16
4-5 Months	7
5-6 Months	19
6-7 Months	14
7-8 Months	14
8-9 Months	19
9-10 Months	14
10-11 Months	13
11-12 Months	73
12 Months	57
