Province	offices
Anhui	0
Beijing	99
Chongqing	4
Fujian	6
Gansu	4
Guangdong	15
Guangxi	5
Guizhou	1
Hainan	0
Hebei	0
Heilongjiang	2
Henan	1
Hubei	4
Hunan	4
Inner Mongolia	1
Jiangsu	4
Jiangxi	1
Jilin	1
Liaoning	10
Ningxia	0
Qinghai	1
Shaanxi	4
Shandong	8
Shanghai	66
Shanxi	0
Sichuan	9
Tianjin	8
Tibet	1
Xinjiang	0
Xinjiang Bingtuan	0
Yunnan	19
Zhejiang	2
