name,total
Beijing,47
Shanghai,35
Guangdong,12
Yunnan,9
Sichuan,5
Tianjin,5
Liaoning,4
Shandong,4
Hunan,3
Jiangsu,3
Shaanxi,3
Gansu,4
Hubei,2
Chongqing,3
Guangxi,1
Guizhou,1
Heilongjiang,1
Jiangxi,1
Tibet,1
Hebei,0
Shanxi,0
Inner Mongolia,0
Jilin,0
Zhejiang,0
Anhui,0
Fujian,0
Henan,0
Hainan,0
Qinghai,0
Ningxia,0
Xinjiang,0
