country	activities
Australia	12
Canada	2
France	3
Germany	33
Hong Kong	298
Italy	3
Japan	8
Kuwait	1
Macau	7
Malaysia	2
Saudi Arabia	1
Singapore	1
South Korea	10
Sri Lanka	1
Sweden	3
Switzerland	4
Taiwan	14
Thailand	2
The Netherlands	5
The Philippines	1
United Kingdom	8
United States	91
Unknown	20
Vietnam	3
	
	
	
	
	
	
	
	
	
