name,total
,
Anhui,3
Beijing,8
Chongqing,5
Fujian,1
Gansu,10
Guangdong,16
Guangxi,4
Guizhou,13
Hainan,0
Hebei,1
Heilongjiang,1
Henan,2
Hubei,2
Hunan,2
Inner Mongolia,6
Jiangsu,3
Jiangxi,0
Jilin,0
Liaoning,1
Ningxia,0
Qinghai,4
Shaanxi,11
Shandong,0
Shanghai,7
Shanxi,0
Sichuan,28
Tianjin,0
Tibet,1
Xinjiang,1
Yunnan,9
Zhejiang,5
