 checked,uploaded,# of Activities,Activity Name (English),Activity Name (Chinese),Organization Name (English),Organization Name (Chinese),Organization Origin,Chinese Partner Unit (CPU) (English),CPU (Chinese),Field of Work,Provinces,Activity Location (English),Activity Location (Chinese),Start Date,End Date,Dates of Activity,Website EN,Website CH,CPU Type,CPU Professional Supervisory Unit (English),CPU Professional Supervisory Unit (Chinese),Direct Registration?,Multiple NGOs or CPUs?,Month,Aging,Agriculture,Animal Protection,Arts and Culture,Civil Society Capacity Building,Disabilities,Disaster Relief,Economic Development,Education,Energy,Environment,Ethnic Affairs,Gender Issues,Health,Human Rights,Infrastructure,International Relations/Exchange,Labor,Law and Governance,LGBTQ Issues,Media,Migrants,Poverty Alleviation,Religion,Rural Issues/Development,Science and Technology,Sport,Tourism,Trade,Urban Issues/Development,Youth,Field Unknown,Length in days,Length in months,All of China,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Xinjiang Bingtuan,Yunnan,Zhejiang,Location Unknown,Sum sectors,Sum provinces,,Int'l locations,civil affairs,Education,science and tech,health and fam planning,intellectual property,environment,poverty alleviation,youth league,agriculture,commerce,religion,"culture, arts",disabilities,women,forestry,Taiwan,others,unknown,num of entry per row,CPU's PSU sector (spelled out),CPU province,CPU PSU highest-level body,CPU PSU hierarchy level ,Prefecture(s),County / Counties
x,x,2,"Contribution of Funds and Supplies to Liangshan, Sichuan Province",福慧教育基金会捐赠资金、物资在四川省凉山,Fu Hui Education Foundation,福慧教育基金会有限公司,Hong Kong,Cool Mountain Education Fund,凉山州教育基金会,Rural Issues/Development,Sichuan,Sichuan Province (Liangshan Prefecture),四川省凉山州,2017-03-25,2017-08-31,2017.03.25-2017.08.31,http://www.fuhui.ca/en/index.aspx,http://www.fuhui.ca/zh/index.aspx,Non-profit or Foundation,Liangshan Yi Autonomous Prefecture Bureau of Education,凉山彝族自治州教育局,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,159,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,,,,,,,,,,,,1,,,,,,,,,1,commerce,Beijing,Ministry of Commerce,Nation,,
x,x,23,Hua County and HIS Medical Exhange and Treatment Service,滑县与天邻医学交流及义诊服务,HIS Foundation,天邻基金会有限公司,Australia,Huaxian Charity Federation / Huaxian New Area Hospital,河南省滑县慈善总会/滑县新区医院,Health,Henan,Henan Province (Hua County),河南省滑县,2017-03-26,2017-10-31,2017.03.26-2017.10.31,N/A,http://clientsv1.charityadvantageservers.com/client/HISFoundationUSA/home_cn.aspx,Non-Profit or Foundation,Unknown,Unknown,0,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,219,7,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,Beijing,,,,
x,x,2,National Primary and Secondary School Safety Education Day Children’s Safety Forum,安童生全国中小学安全教育日主题论坛,China Public Security Education Foundation,中国公共安全教育基金会有限公司,Hong Kong,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,"Education, Youth",Beijing,"Beijing City (Chaoyang District, A.C. Art Museum)",北京市朝阳区东直门外大街26号奥加美术馆,2017-03-27,2017-03-28,2017.03.27-2017.03.28,N/A,N/A,Non-profit or Foundation,Ministry of Civil Affairs,民政部,1,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,Beijing,,,,
x,x,50,"Zheng’an County, Bifeng Town, Yangkan Village Yonghua Elementary School Student Cafeteria Construction",正安县碧峰镇羊坎村永华小学学生食堂建设,Oxfam,乐施会,Hong Kong,Zheng’an County Chinese People’s Political Consultative Conference Committee,中国人民政治协商会议正安县委员会,Infrastructure,Guizhou,"Guizhou Province (Zheng’an County, Bifeng Town, Yangkan Village)",正安县碧峰镇羊坎村,2017-03-30,2018-03-30,2017.03.30-2018.03.30,http://www.oxfam.org.hk/en/China.aspx,http://www.oxfam.org.cn/,Party or Government Entity,Not Applicable,Not Applicable,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,365,12,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,Chongqing,,,,
x,x,36,Aid for Students from Families with Economic Difficulties,香港福慧慈善基金会捐助高中家庭经济困难学,Fuhui Charity Foundation,福慧慈善基金会,Hong Kong,Guangdong Zhaoqing Middle School,广东肇庆中学,"Education, Poverty Alleviation, Youth",Guangdong,Guangdong Province (Zhaoqing City) ,肇庆市,2017-03-31,2017-04-01,2017.03.31-2017.04.01,N/A,N/A,"School, College, University, or Training Institution",Not Applicable,Not Applicable,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,,,,,1,,,,,,,,,,,,,,,,1,sci_tech,Guangdong,China Association for Science and Technology,Province,,
x,x,36,Aid for Students from Families with Economic Difficulties,香港福慧慈善基金会捐助高中家庭经济困难生,Fuhui Charity Foundation,福慧慈善基金会,Hong Kong,Zhaoqing Dinghu Middle School,肇庆鼎湖中学,"Education, Poverty Alleviation, Youth",Guangdong,Guangdong Province (Zhaoqing City) ,肇庆市,2017-03-31,2017-04-01,2017.03.31-2017.04.01,N/A,N/A,"School, College, University, or Training Institution",Not Applicable,Not Applicable,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,36,Aid for Students from Families with Economic Difficulties,香港福慧慈善基金会捐助高中家庭经济困难生,Fuhui Charity Foundation,福慧慈善基金会,Hong Kong,Zhaoqing No. 1 Middle School,肇庆市第一中学,"Education, Poverty Alleviation, Youth",Guangdong,Guangdong Province (Zhaoqing City) ,肇庆市,2017-03-31,2017-04-01,2017.03.31-2017.04.01,N/A,N/A,"School, College, University, or Training Institution",Not Applicable,Not Applicable,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,36,Education Talents Scholarship Presentation Ceremony,育才奖学金颁发仪式,Fuhui Charity Foundation,福慧慈善基金会有限公司,Hong Kong,Guangdong Polytechnic Normal University,广东技术师范学院,Education,Guangdong,Guangdong Province (Guangzhou City),中国广东广州,2017-03-31,2017-04-01,2017.03.31-2017.04.01,N/A,N/A,"School, College, University, or Training Institution",Not Applicable,Not Applicable,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,1,Winter Program for Disabled Orphans’ Cultural Exchange in the U.S.,希望摇篮孤残儿童赴美文化交流冬令营项目,Cradle of Hope Adoption Agency,美国希望摇篮收养机构,United States,Lanzhou Children Welfare House,兰州市儿童福利院,Disabilities,Gansu,Gansu Province,中国甘肃/美国华盛顿特区,2017-04-01,2017-04-15,2017.04.01-2017.04.15,https://www.cradlehope.org/adoption-from-china/,N/A,Party or Government Entity,Not Applicable,Not Applicable,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,2,Adventure Travel Conference and Mart 2017,2017亚太旅游协会探险旅游大会及交易会,Pacific Asia Travel Association (PATA),亚太旅游协会,Thailand,Luoyang Municipal Commission of Tourism Development,洛阳市旅游发展委员会,Tourism,Henan,Henan Province (Luoyang City),洛阳市,2017-04-02,2017-04-04,2017.04.02-2017.04.04,https://www.pata.org/,http://patachina.org/,Party or Government Entity,Not Applicable,Not Applicable,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
