name,total
Anhui,1
Beijing,110
Chongqing,4
Fujian,7
Gansu,4
Guangdong,15
Guangxi,6
Guizhou,1
Hainan,0
Hebei,0
Heilongjiang,2
Henan,2
Hubei,4
Hunan,4
Inner Mongolia,1
Jiangsu,5
Jiangxi,1
Jilin,1
Liaoning,14
Ningxia,0
Qinghai,1
Shaanxi,5
Shandong,8
Shanghai,78
Shanxi,0
Sichuan,12
Tianjin,8
Tibet,1
Xinjiang,0
Xinjiang Bingtuan,0
Yunnan,23
Zhejiang,2
