Province	activities
China	27
Anhui	11
Beijing	84
Chongqing	25
Fujian	10
Gansu	33
Guangdong	92
Guangxi	18
Guizhou	50
Hainan	4
Hebei	11
Heilongjiang	9
Henan	16
Hubei	18
Hunan	19
Inner Mongolia	12
Jiangsu	8
Jiangxi	7
Jilin	4
Liaoning	9
Ningxia	7
Qinghai	22
Shaanxi	36
Shandong	11
Shanghai	22
Shanxi	6
Sichuan	62
Tianjin	7
Tibet	2
Xinjiang	7
Xinjiang Bingtuan	0
Yunnan	57
Zhejiang	25
Unknown	2
