name,total
China,32
Anhui,23
Beijing,175
Chongqing,48
Fujian,19
Gansu,61
Guangdong,196
Guangxi,50
Guizhou,91
Hainan,13
Hebei,30
Heilongjiang,21
Henan,47
Hubei,44
Hunan,41
Inner Mongolia,24
Jiangsu,34
Jiangxi,21
Jilin,16
Liaoning,20
Ningxia,20
Qinghai,40
Shaanxi,63
Shandong,31
Shanghai,62
Shanxi,16
Sichuan,105
Tianjin,22
Tibet,8
Xinjiang,18
Xinjiang Bingtuan,3
Yunnan,104
Zhejiang,61
Unknown,4
