name	total
Anhui	74
Beijing	120
Chongqing	86
Fujian	88
Gansu	58
Guangdong	123
Guangxi	69
Guizhou	67
Hainan	54
Hebei	77
Heilongjiang	67
Henan	62
Hubei	81
Hunan	91
Inner Mongolia	55
Jiangsu	102
Jiangxi	62
Jilin	66
Liaoning	76
Ningxia	40
Qinghai	53
Shaanxi	68
Shandong	88
Shanghai	108
Shanxi	48
Sichuan	114
Tianjin	85
Tibet	24
Xinjiang	31
Xinjiang Bingtuan	4
Yunnan	110
Zhejiang	94
