name	total
Anhui	2
Beijing	145
Chongqing	12
Fujian	11
Gansu	5
Guangdong	22
Guangxi	8
Guizhou	1
Hainan	1
Hebei	2
Heilongjiang	2
Henan	5
Hubei	5
Hunan	11
Inner Mongolia	4
Jiangsu	7
Jiangxi	1
Jilin	3
Liaoning	18
Ningxia	0
Qinghai	1
Shaanxi	5
Shandong	9
Shanghai	90
Shanxi	0
Sichuan	22
Tianjin	11
Tibet	1
Xinjiang	0
Xinjiang Bingtuan	0
Yunnan	25
Zhejiang	4
