name,total
Anhui,2
Beijing,145
Chongqing,9
Fujian,10
Gansu,5
Guangdong,20
Guangxi,6
Guizhou,1
Hainan,1
Hebei,2
Heilongjiang,2
Henan,5
Hubei,5
Hunan,9
Inner Mongolia,4
Jiangsu,7
Jiangxi,1
Jilin,3
Liaoning,17
Ningxia,0
Qinghai,1
Shaanxi,5
Shandong,9
Shanghai,88
Shanxi,0
Sichuan,20
Tianjin,11
Tibet,1
Xinjiang,0
Xinjiang Bingtuan,0
Yunnan,25
Zhejiang,4
