length	number
0-1 Month	541
1-2 Months	68
2-3 Months	61
3-4 Months	51
4-5 Months	40
5-6 Months	50
6-7 Months	57
7-8 Months	47
8-9 Months	64
9-10 Months	75
10-11 Months	76
11-12 Months	762
