Province	offices
Anhui	2
Beijing	163
Chongqing	19
Fujian	19
Gansu	5
Guangdong	39
Guangxi	9
Guizhou	1
Hainan	2
Hebei	2
Heilongjiang	3
Henan	5
Hubei	10
Hunan	20
Inner Mongolia	4
Jiangsu	11
Jiangxi	1
Jilin	2
Liaoning	20
Qinghai	1
Shaanxi	6
Shandong	14
Shanghai	121
Sichuan	26
Tianjin	12
Tibet	1
Yunnan	27
Zhejiang	9
